date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Andhra Pradesh,28,Visakhapatanam,520,538,603,525,210286,0,4669,2022,4849,4953,8033,100112,111271,18393,96034,4078,246986,30397,20424,15113,13764,67195,33007,17894,10695,16875,25,198,9407,9371
01-04-2023,Andhra Pradesh,28,Vizianagaram,521,612,721,494,108331,0,3706,2408,3727,3729,4825,49711,54158,20878,48773,938,123954,27798,7005,10055,6884,44339,30450,20395,6310,8950,17,149,11782,11681
01-04-2023,Andhra Pradesh,28,West Godavari,523,592,605,399,180414,0,3875,951,3868,3889,4595,90519,84391,4437,84754,5765,195120,20473,17932,20839,16066,59023,25025,4186,5751,9864,18,154,11792,11110
01-04-2023,Andhra Pradesh,28,Y.s.r.,504,401,416,375,172767,0,3614,1700,3574,3621,6930,80370,82131,16513,76962,3408,190231,27471,12721,19192,12240,60189,35228,16036,8461,12339,15,146,16355,16304
01-04-2023,Arunachal Pradesh,12,Anjaw,628,0,0,0,16,0,37,0,47,211,6,233,147,0,217,16,398,0,42,16,35,93,16,0,5,7,4,10,0,0
01-04-2023,Arunachal Pradesh,12,Changlang,229,2,1,7,1309,0,205,11,346,353,181,4084,2971,84,3780,304,7566,2,763,90,451,1385,171,81,182,148,6,11,0,0
01-04-2023,Arunachal Pradesh,12,Dibang Valley,230,0,0,0,0,0,0,0,40,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0
01-04-2023,Arunachal Pradesh,12,East Kameng,231,2,0,2,188,0,111,44,140,417,97,1395,823,424,1313,82,2457,0,265,203,288,939,386,183,69,73,6,15,0,0
01-04-2023,Arunachal Pradesh,12,East Siang,232,8,2,13,521,0,46,11,162,175,54,829,761,45,798,31,1731,100,148,29,47,250,55,26,52,35,4,6,0,0
01-04-2023,Arunachal Pradesh,12,Kamle,718,1,1,4,87,0,37,4,123,184,23,344,265,15,315,29,672,0,22,9,29,71,20,11,30,10,2,12,0,0
01-04-2023,Arunachal Pradesh,12,Kra Daadi,677,6,5,6,131,0,64,3,173,267,37,721,509,29,702,19,1305,25,63,0,14,106,29,29,17,21,4,7,0,0
01-04-2023,Arunachal Pradesh,12,Kurung Kumey,233,0,0,3,296,0,82,0,208,325,12,651,467,0,610,41,1177,14,198,21,7,226,21,0,23,24,6,7,0,0
01-04-2023,Arunachal Pradesh,12,Leparada,724,10,7,43,538,0,78,9,145,145,36,1072,1065,18,902,170,2218,8,91,31,97,235,47,16,27,18,2,4,0,0
